,Comment
559,Năm nay bị loại rcoi lại thấy nhớ những chàng trai này
560,Hồi xưa vn mình bị ghi bàn trước thấy khó đá.giờ bị dẫn lại thấy đá càng hay
561,05:14 Thời gian quyết định người sẽ gặpái tim quyết định người Bạn muốn ở bên. 
562,Thầy lộc rất biết kính trên nhường giới. Lẽ phép gia phong của gđ rât đẹp. Chúc cho gđ vk ck thầy lộc luôn an mạnh
563,Vô địch Sea Game 30 rồi vào coi video này lại. Ớn lạnh nổi da gà các bác ạ @@
564,"Mặc dù chúng ta thua,nhưng vẫn thi đấu hết mình đến cuối cùng,em chỉ muốn nói câu vn vô địch"
565,Vn cô lên .. vn vô địch
566,Bóng đá khiến người hâm mộ sít lại gần nhau hơn.
567,Xem bnh lần vẫn xúc động quá
568,Lúc họ thất bại thì chửi lên chửi xuống bây giờ thành công lại tung hô chỉ mong lỡ sau này họ có ra sao đi nữa cũng đừng rời bỏ họ
569,Xem mà nước mắt cứ ưa ứa!
570,Sao xem lại mà tôi vẫn khóc là sao mọi người ơi... :(
571,Mỗi lần cảm thấy cuộc sông mệt mỏi .lại quay lại xem video này :)))
572,"Chúng ta vừa vô địch AFF Cup cách đây không lâu,mọi dư âm vẫn còn đó...
Tôi-một đứa con gái trc giờ chỉ biết đến Công Phượng vì scandal tc với Hòa Minzy
Văn Toàn vì tóc nổi nhất đội,
Duy Mạnh là soái ca trong tim hội chị em,"
573,"cái hay của phúc đó giọng hất rất tình cảm , mỗi bài hát là bạn ấy thả hết tâm hồn và tình cảm vậy , và thể hết giống như mình đã từng trải nghiệm , i love you"
574,"Nay 16/1/2020, đúng 2 năm sau, U23 của chúng ta đã dừng bước"
575,Đầy cảm xúc
576,Mồng 1 tết vía bóng đẹp quá. Thắng cả năm
577,Ai quay lại khi xem Việt Nam! Thắng 3-0 seagames ko. =)))
578,Bây giờ coi lại vẫn nổi da gà. Mong tối ngày 5/6/2019. Việt Nam minh sẽ thắng thái lan tuyệt đối
579,T không mê bóng đá.Nhưng xem clip này và nhớ đến đêm qua t rưng rưng mọi người ạ.
580,lâu rồi nhưng xem lại vẫn thấy nghẹn ngào
581,SEA Games 30. HLV Park lập 1 kỳ tích tiếp theo :3
582,30/4/2020: Xem lại để có thêm động lực tiếp tục cố gắng! Chúc tất cả mọi người bình an!
583,Việt Nam sắp đá tiếp vòng loại World Cup rồi! xem lại n^n lần và chỉ mong ta làm nên kỳ tích thế giới! 26/10/2020 còn ai xem?
584,Xem lại vẫn xúc động
585,Nhưng lại vô địch seagame 30 lẫn aff cup 2018 . á qân u23 châu á . đã mở mang bóng đá Việt Nam vươn tầm thế giới
586,Cảm ơn bầu Đức người a hùng thầm lặng...
587,Có ai giống tui ko xem chục lần lần nào cũng cảm động muốn khóc luôn
588,"Sea game bây giờ đối với Việt Nam  chỉ là một giải ao làng 
tiếng tới Word cúp chính là mục tiêu cần hết sức phấn đấu của vn bây giờ"
589,hôm nay Việt Nam rất tiếc bị loại ở vòng bảng u23 châu Á 2020 :(((
590,"Sau khi VN bị loại khỏi VCK u23 2020 , t xem xong video này càng đau lòng :((("
591,"Chúng ta ko nên chỉ trích họ khi họ thua , mà hãy động viên họ"
592,"Đã không bên họ khi họ thất bại
Thí đừng ăn mừng khi họ chiến thắng"
593,Tôi đã rớm nước mắt khi xem lại những giây phút này
594,"04:25 Cần tin nhắn mỗi ngày, cần những hỏi han, cho tôi yên bình thêm chút "
595,hễ xem lại clip này là rưng rưng nước mắt mn ạ
596,"con người là vậy khi thành công ai nấy tung hô lên tận mây xanh , còn khi vừa xảy ra việc không như mong muốn thì họ quay lưng trách móc dùng những lời không thể tưởng tượng ra để chửi rủa vùi dập họ"
597,"Bây giờ là Việt Nam vô địch 
2019-10-12"
598,5/3/2019 xem lại vẫn rơm rớm nước mắt 
599,Vừa xem hôm qua vs Thái Lan xong côi lại video này lấy cảm hứng
600,"Làm tiếp serie vô định AFF, tứ kết Asian và thắng TL 4-0 đi ad"
601,2022 Cảm xúc vẫn như vậy.
602,"Và VN của ngày hôm nay đã khác, bất bại với các cấp độ với các đội bóng Đông Nam Á dưới thuyền trưởng Park, chỉ còn 1 trận với Indo ngày mai nữa sẽ là lần đầu tiên chúng ta đoạt HCV Seagame, tôi nghĩ vấn đề chỉ là tâm lý mà thôi, về chiến thuật và các cầu thủ hiện tại các đội bóng ĐNA không có cửa. Từ ngày ngài Park lên ngôi thì ngài đã ""đá bay"" 06 ghế của các HLV, có khi nào ghế của HLV indo ngày mai là số 7 chăng ?!!"
603,Đáng lẽ là LĐBĐ VN không nên chọn HLV nội.HLV nội toàn thất bại.Cho nên bây giờ nếu có chọn HLV trưởng cho đội tuyển Việt Nam thì nên chọn HLV ngoại
604,03:42 Nhiều khi muốn có 1 mối quan hệ mập mờ: –Không phải tình yêu– Không phải bồ bịch– Càng không phải người dưng. 
605,Vn sẽ lại vô định sau thất bại Sea game 29 hãy chờ vn đó sea game 30
606,"phải nói thật là tui '' giận'' ông pak quá, ông ấy cứ làm tôi khóc hoài làm tui mất mặt đàn ông quá!"
607,"Coi lại xúc động nhưng vẫn vui quá, trận chung kết trắng xóa ko thấy gì, đáng tiếc ghê, ráng cầm cự đá Pen chưa bik ai hơn ai hihi, đó là bóng đá :)"
608,Bn năm xem lại vẫn nghẹn ngào
609,14 tháng 12 2019 ai còn xem lại mà vẫn cảm xúc như tôi k
610,Tui chỉ mong Việt Nam lọt vào vòng bảng World Cup là mãn nguyện rồi thua ngay từ vòng bảng cũng ko là vấn đề j
611,"Bóng đá là vậy!! Lúc thì đc tung hô lúc thì bị dìm xuống, chỉ cần một sai lầm nhỏ là quay  sang chỉ chích luôn ngta. Hãy nhớ lại quá khứ, trong qk họ đã lm rất nhiều điều cho VN."
612,Moa cứ xem là khóc..cảm xúc đã thật các ông ạ..ngày 28-8-2018
613,12/11/2019... xem lại vẫn nhớ như in cảm xúc đó.... có ai nhớ phan văn đức không??? lâu rồi không thấy câu ấy
614,Coi vẫn rùng mình 5/12/19 sau trận hoà 2:2 thái lan
615,nhìn lại xúc động ghê
616,Cảm ơn thầy đã đến với vn
617,Có ai tối nay xem việt nam thắng thái lan 4-0 vào dự vòng chung kết u23 châu á thì mở lại video này xem lại mong muốn viết lên điều kì diệu nữa ko... ?
618,Có ai đến giờ xem nước mắt vẫn rưng rưng không ? 22/11/2019
619,Thầy lộc rất biết kính trên nhường giới. Lẽ phép gia phong của gđ rât đẹp. Chúc cho gđ vk ck thầy lộc luôn an mạnh
620,"Thắng người Thái ở M150
Chung kết giải u23 Châu Á 
Hạng 4 ở Asiad
Tứ kết Asian Cúp"
621,Coi vẫn rùng mình 5/12/19 sau trận hoà 2:2 thái lan
622,2022 xem lại vẫn nổi da gà luôn ạ huhu
623,"U22 vào chung kết sea game rồi 
Ai tin u22 vô địch điểm danh nào"
624,"Trận đá với Uzbekistan cg ko thể trách thủ môn Tiến Dũng đc, hôm đó tuyết rơi nhìu quá mất tầm nhìn nên chụp khó khăn lắm"
625,các bạn đã làm nên lịch sử. va f diều quan trọng hơn các đã làm rung động con tim của hơn 90 triệu dân viet nam
626,ghét những đứa dislike video này huhu xem mà cảm đọng quá
627,2019 xem lại vẫn cảm giác như đang xem trực tiếp vậy
628,5/12/2019 xem lại vẫn khóc ...
629,VN vô địch 🇻🇳🇻🇳🇻🇳🇻🇳
630,Năm nay bị loại rồi tiếc quá nên đi coi lại năm này cho vui lên!!!
631,2022 liệu ai còn nhớ những người hùng năm 2018 ?
632,"28/3/2019 việt nam lọt vào vòng chung kết u23 2020, thêm một thế hệ mới !"
633,mới đấy mà đã gần 4 năm rồi h xem vẫn hồi hộp như đang xem hồi 2018 vậy
634,Tiếng nhạc .tiếng binh luận viên là đủ tất cả cảm xúc.vn vô đich
635,Xem lại câu chuyện cổ tích của u23
636,Nhớ anh người anh hùng của những pha cản phá năm ấy nhưng bây h anh ấy ko đc bắt nx 
637,Bóng đá làm nên lịch sử và lịch sử đã ghi danh bóng đá Việt Nam 🇻🇳 《19/3/2022》
638,"""Thất bại là mẹ thành công"" 
Các anh đừng thất vọng khi thua trước UZB
Em tin một ngày nào đó Việt Nam sẽ có thể bước lên đài vinh quang để sánh vai với các cường quốc như ước nguyện của Bác Hồ."
639,"Em không biết nhưng hôm nay em coi u23 202 em lại nhớ các anh. Nhớ cái lứa cầu thủ này. Em nhớ Lương Xuân Trường em nhớ cả Đức, cả Phượng nữa. Rồi em lại thương Hải thương Chinh cũng thương cả Dũng, em biết Dũng làm được mà, cố lên anh nhé Trách nhiệm đè lên vai các anh nặng quá. Nhưng yên tâm em sẽ luôn bên các anh nhé"
640,"Nhân vật âm thầm tìm và .... năn nỉ thầy Park về VN bằng mọi giá chính là Bầu Đức. Hơn 2 mùa bóng chi phí mỗi tháng cho thầy Park là 800tr là Bầu Đức, chưa kể cũng chính ông là người đóng góp hơn 50% số lứa cầu thủ hiện tại cho bóng đá việt nam khi mà chưa ai làm đc việc đó. Quan trọng hơn hết bầu Đức còn là người ""dạy"" lứa cầu thủ này ngoài đá bóng ra còn phải biết Làm Người, có ngoại ngữ, có trình độ, có kĩ năng giao tiếp, hay tóm lại là good manner. Nhưng CÔNG ấy được ""đón đầu"" bởi LĐBĐVN. AI THẤY ĐÚNG CHO MÌNH 1 LIKE VÀ ĐĂNG KÝ KÊNH ỦNG HỘ MÌNH NHÉ."
641,"ngày hôm ấy thường châu chìm trong tuyết 
đốm lửa đỏ hâm nóng cả thường châu
bao năm sau người đời sẽ thường nhớ
cầu vòng tuyết xuất hiên từ đâu. "
642,31/12/2020 vẫn xem lại khoảnh khắc lịch sử này
643,Cho t hỏi tại sao chúng m lại dislike với tinh thần bóng đá quả cảm của 🇻🇳
644,Nhớ các anh quá! Dũng ơi cố lên anh nhé ️
645,"vn 4-0  thailans  2019                
vn 1-0 thailan    2020 
vn 2-1 thailans 2017 giao hữu
VN 1-0 THAILAN   2019"
646,phải công nhận quả đá phạt của quang hải quá xuất sắc .
647,Trận chung kết cầu thủ kể lại lạnh đến nỗi sút trúng quả bóng xong phải ôm chân luôn
648,"Mỗi lần xem lại là khóc , ngộ thật ."
649,"ai về nhắc lại thường châu, hôm ấy tuyết rơi bạc mái đầu, cờ việt nam dũng cảm bay trong gió, để hôm nay mãi vùng lên hihi cho mình sửa bản chính 1 xíu "
650,1 năm sau coi lại vẫn khóc
651,VN đã trả thành công món nợ đó là tiễn  TL về nc sớm ở sea games 30
652,Trận đá với iraq bị dẫn trước 2-1 phút 90 tưởng như thua nhưng đã gỡ lại và lội ngược dẫn trước 1 bàn luôn thật k thể tin đc
653,Chúc c Mây năm mới nhiều sức khoẻ và thật thành công ạ
654,Vô địch trong lòng người hâm mộ là được... thắng cũng được nhưng thú phải thua đẹp như vậy mới đăng cấp!!
655,Ai tin Việt Nam sẽ vô địch sea games thì cho xin 1like nha
656,Xúc động rớt nước mắt...
657,Uizoi may quá kênh đã trở lại :D
658,Tuy thất bại k tưởng ở seagaems nhưng khi ở giải cupM150 chính u23 này đã thắng thái trên trên sân nhà của thái thật tuyệt vời k cần biết thua thái bao nhiêu lần nhưng chỉ cần thắng thái trên đất thái như thế cũng đủ hả hê cơn giận rùi
659,6/3/2022 nhanh thật mới đó mà đã 4nam rồi.xem lại cảm xúc vẫn như mới ngày hôm qua vậy.
660,"16/01/2019 bây giờ có ai còn xem
Cảm xúc vẫn vỡ òa và xúc động"
661,"thích nhất câu ""chúng ta lại làm nên một kì tích nữa rồi... ""? của blv"
662,"23/3/2022: Kỳ tích vẫn chưa khép lại, có lẽ rất nhiều người vẫn tin rằng HLV Park cùng với những Chiến Binh Sao Vàng kia sẽ tiếp tục tạo nên nhiều kỳ tích mới. <3"
663,"03:11  Tình yêu là phải giấu thật sâu, sơ sảy rơi mất tìm đâu thấy tình. "
664,24/11/2019 xem lại và vẫn ngập tràn cảm xúc
665,Đó là huyền thoại của u23 bây giờ là u22 khán giả bắt đầu nhàm chán việc làm rách lưới đối thủ rồi chán chưa 
666,26/03/2019 . 2 năm sau U23 Việt Nam thắng U23 Thái Lan tỉ số 4 - 0
667,29/11 Hy vọng kỳ seagame30 này VN sẽ giành huy chương vàng.... Có ai đang xem ko ạ :)))
668,"Xem đi xem lại vẫn thấy hồi hộp và rưng rưng nc mắt,có ai giống mình ko?"
669,Hôm nay xem lại mà vẫn đau tim
670,Hóng trận chung kết SeaGame 30 - Việt Nam vs Indonesia
671,"Ngày ấy cũng chính người Việt Nam chê bai họ, và cũng chính người Việt Nam khen họ hết lời. Trước khi làm điều gì đó nên suy nghĩ trước"
672,- Nếu các bạn chỉ trích tôi khi chúng tôi thất bại thì đừng ăn mừng khi chúng tôi chúng thắng <3
673,Chúc anh luôn sức khỏe và hát cho chúng em nghe nhé
674,Xem lại cảm động xuýt khóc
675,"Thua Thái Lan 3 - 0
Park Hang Seo: LỌT VÀO TẦM MẮT"
676,"Nhớ thời điểm này tôi còn đi lính , còn trực chiến  , vậy mà đó lại là khoản thời gian vui vẻ nhất"
677,"Ý kiến riêng của mình với mấy ông fan PHONG TRÀO :

Khi Công Phượng cùng đồng đội thua Thái Lan ở Sea game. Ai là ng đã ném đá , chỉ trích , miệt thị họ . Ai là ng đã đem họ ra làm chủ đề chế giễu trên các page facebook .... 

Rồi bây giờ , khi họ có thành công , các bạn có quyền gì mà tự hào, mà tung hô họ ? Vì bạn nghĩ họ là ng Việt nên vinh quang ấy cũng là của mình à ? "
678,Tổ quốc Việt Nam mạnh mẽ lên .
679,Xem lại mà sởn gai ốc ️
680,"Tất cả nhờ vào HLV Park Hang Seo một HLV mẫu mực có tâm và đội ngủ Cầu Thủ đồng nhất tinh thần khá vững đã thay đổi mọi thứ. Mọi chuyện bây giờ quá đơn giản chỉ một chữ ""bình tĩnh"" cứ xem mọi thứ bình thường mọi chuyện sẽ bình thường"
681,Toàn những trận đấu 120'.xem lại nổi da gà
682,24/11/2019 vẫm hồi hộp như ngày nào 
683,mạnh dạn tiên tri Việt Nam vô địch AFC 2020
684,Giọng hát của ah Đức phúc hát đúng tâm trạng hay quá
685,"26/2/2022
U23 VN chúng ta đã vô địch Đông Nam Á"
686,"xem di xem lai k chán, mà xúc dong muốn khóc quá !"
687,tôi coi lại 1000 vẫn xúc đông
688,"Xem lại nhưng cảm xúc vẫn như ngày nào.
Team nghỉ dịch nCov ở nhà!"
689,So proud
690,"Nhìn thằng bé vừa nói vừa như chực khóc đến nơi, k nói đến tài năng hay k mà thương thực sự, đâu ai muốn thua bao giờ."
691,Day la lua cau thu de lai dau an rat nhieu cam xúc .lua cau thu hay nhat tu truoc đen gio
692,"Năm ấy công phượng, xuân trường chỉ 22 tuổi. Nhưng dư luận đã vùi dập đay nghiến họ.
Bây giờ thì ca tụng không thấy ngượng miệng chăng. =))))"
693,Từ thời văn quyến đầu quân theo juventus những năm về sau tôi mất niềm tin vào bóng đá Việt Nam . Nhất là giải VL tôi không bao giờ coi . Từ khi có lứa công phượng năm 2014 lại cho ta những tia hi vọng rồi vụt tắt. May mà có ông pac đến tôi lại muốn xem Việt Nam đá vô cùng. Việt Nam năm nay vô địch trước Indo VN 1 - 0 INDO
694,Nhìn ông trọng tài oman lại nhớ trận gặp TL
695,Quá cảm xúc
696,coi lại mà muốn khóc
697,3/11 Có ai còn xem ko... Còn nhớ BTD năm xưa trên đất thường châu ko.. 
698,mình rất thích video này xem hoài ko chán cảm ơn ng tạo ra video
699,Bọn sinh sau đẻ muộn sao hiểu dc cảm giác tự hào này
700,"8/12/2018 ai còn xem
Việt Nam nợ thầy park 1 lời cảm ơn"
701,"4 năm rồi, thời gian trôi nhanh quâ"
702,Nghỉ hiệp 1 VN-TL vào xem mà rợn tóc gáy
703,đọc bình luận mà rơi nước mắt
704,Có ai vẫn xem và đầy cảm xúc năm 2020
705,Có ai rưng rưng nc mắt và nổi da gà khi xem lại k
706,24-08-2018 coi lại nước mắt rưng rưng
707,Khi tôi tuyệt vọng thì video này đã giúp tôi sống dậy
708,Xem lại mà vẫn nổi đã gà
709,Chung kết rồi mấy ae ơi :3
710,Xem lại vẫn cảm xúc hic
711,.....🇻🇳
712,Rất cảm động
713,xem lại vẫn hay!
714,thichd nhất trận cầu tuyết tuy k thắng nhưng cảm xúc thật khó quên
715,Ai chuẩn bị xem chung kết VN - Indo tối mai Seagame 10/12/2019 đâu?
716,Ngày mai nữa thôi chiếc hcv sẽ thuộc về chúng ta.tôi và các bạn chắc là đã đợi điều này rất lâu rồi
717,Tui luôn ủng hộ tiến dũng
718,Thái Lan 0 -1 Việt Nam King's cup 5/6/2019
719,28/11/2019 xem mà xúc động quá.... ️
720,Xem đi xem lại mà vẫn không thể nào quên được cái khoảnh khắc ấy
721,19/10/2019 nhớ u23 VN quá cứ xem đi xem lại. Cảm xúc vẫn còn vẹn nguyên. Thật tuyệttttt ️️️️
722,19.10.19 Mình  vẫn xem lại và cảm động rơi nước mắt!! Xin cảm ơn ngài Park-Han-Seo vì những cống hiến to lớn của ngài dành cho bóng đá Việt Nam. Rất kính phục một người thầy vừa có tâm vừa có đức...
723,"Bọn fan phong trào đâu, quay lại clip này mà xem Tiến Dũng đã làm đc j này, lúc trước cứ hét to hoan hô BTD, h lại chê bai trách móc ng ta như thế, chung kết Seagame30 BTD bắt chính và hi vọng a lấy lại tinh thần và thể hiện để bọn fan phong trào phải nhìn lại...."
724,"Trời Hà Nội chuyển lạnh càng làm t nhớ hơn những ngày tụ tập nghỉ học xem bóng đá,những ngày mà người người ra đường bắt tay nhau chào bằng câu ""VN vô địch"", những ngày mà họ ôm lấy nhau thắm thiết dù chẳng quen biết gì. Cả nước chung 1 nhịp đập. Xem lại clip bao lần cũng vẫn đổ lệ như ngày ấy. Càng xem càng yêu VN."
725,Đánh thức một nền bóng đá
726,"Tuyến giữa một khoảng lặng
Tôi vẫn muốn thấy 1 cái tên 
Tuấn Anh
Luôn đợi anh về #TA8"
727,"Tôi là fan nữ. Mỗi lần xem đến Video này là nước mắt cứ trào ra. Thật sự rất xúc động, với tinh thần và lòng quả cảm của các chiến binh Rồng Vàng! Thanks mr Park!   "
728,"xem đi xem lại n lần mà tới đoạn PVĐ ghi bàn vẫn nổi da gà :)
quá tuyệt vời <3"
729,Các bạn hãy nhìn lại Bùi Tiến Dũng của những ngày này. Chứ đừng nhìn nhận qua vài pha lỗi mà dìm nta xuống.
730,Ông Park là ánh sáng soi đường cho bóng đá VN
731,Có ai xem VN vừa bị loại u23 Châu Á xong vào đây xem lại giống t k?
732,Ai đang tin chắc chắn Việt Nam sẽ vô địch U23 Châu Á 2019
733,"19/10/2019 vẫn như hồi đó, 1 cảm xúc cực mạnh trong con người.. cảm ơn những người hùng của dân tộc Viêt Nam.."
734,Xem lại bao nhiêu lần nhưng cảm giác vẫn bồi hồi và xúc động. Có một sự tự hoà ko hề nhẹ
735,"2018 Trung Quốc tuyết trắng màu BẠC, 2020 Thái Lan cát vàng màu VÀNG"
736,"Xem lại cảm xúc vẫn dạt dào , cảm ơn các bạn đã đem lại bao niềm vui và hạnh phúc cho người hâm mộ Việt Nam"
737,Tạ Biên Cương bình luận cảm xúc ghê
738,12/3/2018 xem lại lần thứ n mà cảm xúc vẫn như 1
739,"Đến giờ xem mà vẫn xúc động. Cam on ong Park ,cam on U23 Viet Nam"
740,16/1/2019 xem lại vẫn muốn rơi nước mắt
741,"Mỗi lần xem lại đều rơi nước mắt. Đã có một Việt Nam như thế: kiên cường, bất khuất và đầy ý chí. Những chàng trai áo đỏ hãy cố gắng lên, chúng ta đã làm được kì tích mà bao năm qua chúng ta chưa làm được và hi vọng ở tương lai , các anh sẽ làm tốt hơn thế nữa. Tôi tự hào về các anh, và ngày sau tôi vẫn tự hào vì các anh như thế!"
742,Rất tự hào . Mong rằng bóng đá VIỆT NAM ngày càng phát triển hơn nữa 
743,"Mấy cầu thủ kia sút vào xong toàn lấy tay đẩy đẩy mấy đồng đội muốn ôm mình ra.
Việt Nam ôm nhau nhảy tưng tưng."
744,Bây giờ sem lại vẫn chảy nước mặt Cảm Ơn Ban Quản Lý Kênh Cảm Ơn Người Hâm Mộ Cùng Toàn thể Cầu Thủ  Đã Làm Nên Kì Tích Cho Đất Nước yêu Tất Cả Các Bạn
745,Ai như mình xem lại vẫn rơi nc mắt
746,Cái ngày mà U23 VN thắng quata khó quên thật dù ko quen bik j nhau vẫn ôm nhau mừng chiến thắng và em xin hỏi anh nào đã ôm em mong hãy trả cái bóp tiền lại cho em 
747,Cực kì ấn tượng với kiểu đứng oai hùng của Vũ Văn Thanh. Cho ta một cảm giác và liên tưởng một Việt Nam rất hiên ngang và bất khuất.
748,Xem mà nước mắt vẫn rơi như ngày nào ️🇻🇳🇻🇳
749,Nổi hết da gà :(((
750,"2 năm rồi - 2 năm thầy ở bên chúng ta,cũng là 2 năm chứa đầy những cung bậc cảm xúc tuyệt vời k gì có thể mua được. Xem lại vẫn hồi hộp, vẫn xúc động như những giây phút đầu tiên..."
751,"Nhờ có huấn luyện viên pac hang seo
THì ta mới thắng"
752,Đến ng không hâm mộ bóng đá chả bao giờ xem bóng đá mà giờ hóng từng phút để xem vn đá
753,thỉnh thoảng xem lại vẫn thấy rùng mình vẫn cảm giác như mới ngày hôm qua vẫn cảm giác tự hào vẫn cảm thấy các anh kiên cường thực sự trong cả chặng đường ấy! Tuyệt vời thật sự 23/10/2019
754,Người hâm mộ bóng đá Việt Nam sẽ còn nhớ mãi những hình ảnh này. Thật sự xúc động
755,"Đã vô địch seagame 30 , vô địch aff cup nhưng vẫn kh thấy lại cảm xúc vở òa như này"
756,Cảm ơn thầy cảm ơn đội tuyển hi vọng vào một nền bóng đá Việt Nam sẽ ngày một phát triển ngày một tươi sáng hơn.
757,Trước trận chung kết sinh tử Việt Nam - Indonesia 10/12/2019. Ai tin Việt Nam vô địch Seagame 30 thì like và cm nhé
758,Xem lại vẫn nổi da gà như trước
759,Hi vong giải u23 năm nay Việt Nam sẽ vô địch. 25/10/2019 xem lại rớt nước mắt Đúng là kỳ tích
760,Hôm qua 26/3 Việt Nam! Đã thắng 4-0 trước thái lan
761,xem lại vẫn đầy cảm xúc.tu hào của vn.yêu các e quá
762,"Xem mấy lân vân rùng mình ,lạnh người. Cảm ơn Park đã đưa thể thao và bóng đá vn lên tầm nhìn cường quốc mới."
763,Con rất thích coi bóng đá  và lớn con sẽ lấy cúp về cho vn.
764,"20/10/2019 xem vẫn rưng rưng, cảm xúc rất thật"
765,"Còn ai xem ngày 29/11/2019 ko nhỉ :))
Xúc động phát khóc"
766,"30 tháng 8 2018
Tuy U23 đã thua Hàn Quốc nhưng xem lại clip này t đã khóc"
767,"Tinh hoa bóng đá Việt các cầu thủ thi đấu chắc chắn, đoàn kết, cơ động..sự kết hợp tinh tế giữa bóng đá và tinh thần thi đấu giàu truyền thống văn hóa bất khuất của người VN, trong chiến đấu các thế hệ ông cha của dân tộc VN cũng không bao giờ chịu khuất phục trước mọi kẻ thù."
768,"Yêu đội tuyển Việt Nam rất nhiều, sẽ luôn ủng hộ và theo dõi các bạn ! 
Love u ️️️"
769,quang hải tuyệt vời
770,Đoạn Quag Hải gỡ Hòa 2-2 Qatar + nhạc nghe mà nổi hết da gà
771,"Gam 2017, u23 2018 "
772,"Cái đoạn 8:48 ai mà biết vẽ chân dung thì vẽ cái đoạn đó đẹp
Park hang so thì đang hô hào ăn mừng. Cầu thủ dự bị thì chạy ra ôm. Còn cầu thủ trong sân thì tụ tập nhau ăn mừng
Quả là 1 bức ảnh đẹp"
773,Tự hào quá VN ơi mong các ah trong đội tuyển VN lúc nào cũng sẳng sàng quyết đấu đến cùng nha!  Chúc các ah luôn luôn mang nhiều thắng lợi vẻ vang về cho nước nhà cố lên trong moi trận chiến khác nha hãy vươn lên luôn kề vai sát cánh với nhau nha các ah cần thủ cố lên!cố lên........
774,"tất cả thành công đều đến từ thất bại, và giời đây là ngày chúng ta hái quả ngọt"
775,Sea games 29 đã là quá khứ rồi
776,20/10/2019 xem lại vẫn nổi da gà. Việt Nam.
777,U23 viet nam vie nen lich su lan thu 10
778,"Cảm ơn các Anh 
Cảm ơn tất cả  !"
779,"Vẩn cảm xúc như ngày nào 
VIỆT NAM ƠI"
780,cảm ơn u23 những ngày tháng giêng hạnh phúc nhất
781,Tới giờ xem lại vẫn xúc động và vẹn nguyên những cảm xúc ấy
782,"Ở thất bại Sea Games 29 có một người  bị rất nhiều người chỉ trích, chàng trai ấy đến giờ vẫn chưa có cơ hội để làm lại mình từ thất bại ấy, đó là chàng thủ môn Phí Minh Long"
783,"Mà tôi công nhận
Mấy người xem chỉ đứng đó nhìn 
Đâu biết rằng Đội tuyển Việt Nam mệt cỡ nào
Thua thì chửi, thắng thì hãnh diện đất nước ta đây giỏi lắm"
784,"ôi các tràng trai việt với tinh thần dũng mãnh, bất khuất. một lứa cầu thủ, một thường châu, một màu đỏ trên nền tuyết trắng một cầu vồng... xem đi xem lại vẫn thấy không đủ! cảm ơn ngài Park đã đánh thức tinh thần, bản lĩnh của các chiến binh. tôi có một khát khao.... !"
785,06:05   “Chỉ mình em” có nghĩa là ngoài em ra thỉnh thoảng sẽ còn vài em khác nữa. 
786,"30/10, let go hãy viết tiếp lịch sử in AFF Suzuki cup nhé
Việt Nam
Vô Địch"
787,Hãy cố lên các chiến binh Việt Nam 🇻🇳🇻🇳🇻🇳
788,"Vẫn cảm xúc đó. Dù các cầu thủ có vấp ngã nhưng đừng ai chỉ chích họ. Vì họ đã cố gắng hết sức m. Từ bh đến tương lai️
15-10-2029"
789,28/11/2019 ai còn xem các anh hùng VN giơ tay ạ
790,"Những cậu chàng trẻ tuổi, nhiệt huyết, vô tư, đầy kiêu hãnh bây giờ trưởng thành và bản lĩnh hơn rồi. Từ nơi các bạn bắt đầu đứng lên, nhiệt huyết, niềm tin chiến thắng vẫn còn đó"
791,"Dù phong độ của anh BTD có mất nhưng công lao và đẳng cấp của anh vẫn mãi ở đó
Bùn 1vài bn thật sự :((
Lúc ngta  huy hòang thì tung hô gọi ngta chồng này nọ
Lúc ngta mắc sai lầm thì chỉ trính gọi anh BTD là "" Thằng thanh hóa "" ?"
792,Cảm ơn bạn đã làm video này mình mới biết u23 việt nam như thế nào thanks man
793,Đến giờ coi lại vẫn còn cảm xúc như ngày nào .
794,"Xem đi , xem lại mà vẫn cảm thấy sung sướng thât , đã mắt quá !"
795,Vck u23 châu á ở Thái sắp diễn ra. Hãy chứng minh cho châu á chúng ta vào tới ck 2 năm trước k phải may mắn mà là bằng năng lực thực sự
796,Khôg thể nào quên được ngày tuyết rơi trắg xóa ở Thường Châu !! VN quá tuyệt vời
797,Chi biet coi lai van thay Việt Nam! Ngay đo da coi suong nhieu cảm xuc
798,"Coi lại để tiếp bước cho ngày 5/9/2019, luôn ủng hộ thầy Park và các bạn ."
799,Thất bại là mẹ của thành công  ... Va gio la kỷ nguyên mới của bóng đá việt nam các chàng trai cố lên nghiền nát thái lan nha
800,9:09 thủ môn lên tận giữa sân xem Quang Hải ghi bàn gỡ hoà 2-2 Qatar. Tưởng bạn ý hóng hớt mỗ trận chung kết thôi chứ trận bán kết bạn ý còn hóng hơn cơ
801,"Đối với tôi như thế VIỆT NAM đã thắng tất cả,Thời tiết như thế thì VIỆT NAM tôi thua,Tôi rất tự HÀO vì TÔI LÀ NGƯỜI VIỆT NAM"
802,Sau vòng loại Word cúp chúng ta thắng hai hoà 1 tôi lại xem lại những bước chân ông pak dẫn những chiến binh áo vàng cùng đi tôi thấy khoé mắt cay cay...cố nên các chiến binh vs vòng lượt về Word cúp 22 nhé
803,T đã rơi nc mắt TỰ HÀO NGƯỜI VIỆT NAM
804,"Đội tuyển Việt Nam vẫn chưa chơi hết mình mà đỉnh vậy, kinh khủng kiếp rồi    like     "
